"TOA5","250101","CR800","24913","CR800.Std.32.02","CPU:METEOROLOGICA CR800.CR8","51517","M1440"
"TIMESTAMP","RECORD","TempAire_Max","TempAire_TMx","TempAire_Min","TempAire_TMn","HumRel_Max","HumRel_TMx","HumRel_Min","HumRel_TMn","BattV_Max","BattV_TMx","BattV_Min","BattV_TMn","HR_NEMA_Max","Temp_NEMA_Max"
"TS","RN","Deg C","","Deg C","","%","","%","","Volts","","Volts","","%","Deg C"
"","","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","Max"
"2018-04-24 00:00:00",74,27.3,"2018-04-23 11:03:00",20.88,"2018-04-23 02:48:00",100,"2018-04-23 00:33:00",79.4,"2018-04-23 11:47:00",13.26,"2018-04-23 06:27:00",12.78,"2018-04-23 05:30:00",66.33,35.74
"2018-04-25 00:00:00",75,28.36,"2018-04-24 10:25:00",20.9,"2018-04-24 15:49:00",100,"2018-04-24 15:00:00",70.77,"2018-04-24 10:20:00",13.24,"2018-04-24 06:29:00",12.79,"2018-04-24 04:50:00",72.9,37.49
"2018-04-26 00:00:00",76,28.75,"2018-04-25 11:25:00",21.25,"2018-04-25 02:14:00",100,"2018-04-25 02:11:00",74,"2018-04-25 11:25:00",13.25,"2018-04-25 06:33:00",12.79,"2018-04-25 05:34:00",65.19,37.71
"2018-04-27 00:00:00",77,28.12,"2018-04-26 10:58:00",20.97,"2018-04-26 04:33:00",100,"2018-04-26 01:23:00",73.7,"2018-04-26 04:50:00",13.25,"2018-04-26 06:10:00",12.79,"2018-04-26 04:50:00",65.65,35.49
"2018-04-28 00:00:00",78,26.75,"2018-04-27 13:38:00",20.96,"2018-04-27 05:40:00",100,"2018-04-27 00:01:00",80.1,"2018-04-27 14:43:00",13.25,"2018-04-27 05:55:00",12.79,"2018-04-27 05:16:00",67.35,34.44
"2018-04-29 00:00:00",79,29.05,"2018-04-28 12:00:00",20,"2018-04-28 16:07:00",100,"2018-04-28 01:33:00",70.06,"2018-04-28 11:38:00",13.25,"2018-04-28 06:11:00",12.79,"2018-04-28 04:08:00",75.01,37.1
"2018-04-30 00:00:00",80,30.26,"2018-04-29 10:34:00",21.19,"2018-04-29 05:37:00",100,"2018-04-29 18:21:00",65.43,"2018-04-29 11:30:00",13.26,"2018-04-29 06:11:00",12.79,"2018-04-29 04:55:00",68.14,40.51
"2018-05-01 00:00:00",81,29.35,"2018-04-30 12:37:00",21.11,"2018-04-30 04:23:00",100,"2018-04-30 00:27:00",72.13,"2018-04-30 10:24:00",13.25,"2018-04-30 05:57:00",12.73,"2018-04-30 14:15:00",75.77,38.58
"2018-05-02 00:00:00",82,29.98,"2018-05-01 10:33:00",21.19,"2018-05-01 04:39:00",100,"2018-05-01 04:40:00",66.34,"2018-05-01 01:28:00",13.25,"2018-05-01 06:08:00",12.78,"2018-05-01 05:05:00",72.41,40.58
"2018-05-03 00:00:00",83,29,"2018-05-02 09:51:00",21.24,"2018-05-02 21:09:00",100,"2018-05-02 00:29:00",63.26,"2018-05-02 07:24:00",13.24,"2018-05-02 06:09:00",12.77,"2018-05-02 05:07:00",66.96,37.71
"2018-05-04 00:00:00",84,29.04,"2018-05-03 11:42:00",21.17,"2018-05-03 02:11:00",100,"2018-05-03 00:01:00",71.6,"2018-05-03 11:45:00",13.25,"2018-05-03 06:08:00",12.78,"2018-05-03 05:26:00",73.45,38.83
"2018-05-05 00:00:00",85,29.55,"2018-05-04 13:56:00",21.32,"2018-05-04 05:29:00",100,"2018-05-04 00:37:00",70.33,"2018-05-04 11:09:00",13.25,"2018-05-04 06:02:00",12.78,"2018-05-04 04:54:00",68.71,39.8
"2018-05-06 00:00:00",86,28.27,"2018-05-05 12:13:00",21.22,"2018-05-05 04:01:00",100,"2018-05-05 01:44:00",75.28,"2018-05-05 12:28:00",13.24,"2018-05-05 05:58:00",12.77,"2018-05-05 04:30:00",70.06,36.45
"2018-05-07 00:00:00",87,29.7,"2018-05-06 11:13:00",20.87,"2018-05-06 18:49:00",100,"2018-05-06 14:47:00",65.35,"2018-05-06 10:18:00",13.25,"2018-05-06 05:58:00",12.78,"2018-05-06 03:51:00",75.13,40.3
"2018-05-08 00:00:00",88,29.38,"2018-05-07 12:00:00",21.24,"2018-05-08 00:00:00",100,"2018-05-07 00:01:00",69.95,"2018-05-07 10:15:00",13.26,"2018-05-07 06:17:00",12.71,"2018-05-07 14:14:00",74.08,39.17
"2018-05-09 00:00:00",89,29.41,"2018-05-08 10:56:00",20.29,"2018-05-08 17:17:00",100,"2018-05-08 00:01:00",71.69,"2018-05-08 10:17:00",13.26,"2018-05-08 05:56:00",12.77,"2018-05-08 05:21:00",72.88,39.84
"2018-05-10 00:00:00",90,28.91,"2018-05-09 12:29:00",20.87,"2018-05-09 19:40:00",100,"2018-05-09 16:16:00",69.83,"2018-05-09 12:29:00",13.26,"2018-05-09 06:10:00",12.78,"2018-05-09 04:58:00",73.59,38.58
"2018-05-11 00:00:00",91,28.5,"2018-05-10 10:26:00",20.9,"2018-05-10 04:27:00",100,"2018-05-10 13:54:00",70.84,"2018-05-10 10:26:00",13.26,"2018-05-10 05:55:00",12.73,"2018-05-10 14:14:00",74.46,38.47
